,Location,Value,Title,Category,company,longitude,latitude
1,Computer Science,212,Data Analyst,What they studied,commonwealthbank,,
2,Computational Science,184,Data Analyst,What they studied,commonwealthbank,,
3,Finance,165,Data Analyst,What they studied,commonwealthbank,,
4,Accounting,111,Data Analyst,What they studied,commonwealthbank,,
5,Economics,106,Data Analyst,What they studied,commonwealthbank,,
6,Business/Commerce,91,Data Analyst,What they studied,commonwealthbank,,
7,Mathematics,86,Data Analyst,What they studied,commonwealthbank,,
8,Data Science,86,Data Analyst,What they studied,commonwealthbank,,
9,Statistics,80,Data Analyst,What they studied,commonwealthbank,,
10,Accounting and Finance,78,Data Analyst,What they studied,commonwealthbank,,
11,Electrical and Electronics Engineering,77,Data Analyst,What they studied,commonwealthbank,,
12,Accounting,68,Data Analyst,What they studied,commonwealthbank,,
13,Marketing,61,Data Analyst,What they studied,commonwealthbank,,
14,Computer and Information Sciences,53,Data Analyst,What they studied,commonwealthbank,,
0,Australia,760,Data Analyst,Where they live,westpac,,
1,"New South Wales, Australia",626,Data Analyst,Where they live,westpac,,
2,Greater Sydney Area,610,Data Analyst,Where they live,westpac,,
3,"Sydney, NSW",600,Data Analyst,Where they live,westpac,,
4,"Victoria, Australia",72,Data Analyst,Where they live,westpac,,
5,Greater Melbourne Area,70,Data Analyst,Where they live,westpac,,
6,"Melbourne, VIC",65,Data Analyst,Where they live,westpac,,
7,"South Australia, Australia",32,Data Analyst,Where they live,westpac,,
8,"Adelaide, SA",31,Data Analyst,Where they live,westpac,,
9,Greater Adelaide Area,31,Data Analyst,Where they live,westpac,,
10,New Zealand,28,Data Analyst,Where they live,westpac,,
11,"Auckland, New Zealand",20,Data Analyst,Where they live,westpac,,
12,Auckland,18,Data Analyst,Where they live,westpac,,
13,"Queensland, Australia",15,Data Analyst,Where they live,westpac,,
14,Greater Brisbane Area,12,Data Analyst,Where they live,westpac,,
0,UNSW,82,Data Analyst,Where they studied,westpac,151.227939,-33.917226
1,University of Sydney,67,Data Analyst,Where they studied,westpac,151.1868,-33.8884
2,University of Technology Sydney,57,Data Analyst,Where they studied,westpac,151.200549,-33.883964
3,Macquarie University,44,Data Analyst,Where they studied,westpac,151.112474,-33.7750065
4,Western Sydney University,21,Data Analyst,Where they studied,westpac,151.189728,-33.889192
5,Monash University,17,Data Analyst,Where they studied,westpac,145.133607,-37.91063
6,Deakin University,16,Data Analyst,Where they studied,westpac,145.114309,-37.846971
7,TAFE NSW,16,Data Analyst,Where they studied,westpac,151.199666,-33.882324
8,University of Wollongong,13,Data Analyst,Where they studied,westpac,150.8778,-34.4053
9,UNSW,12,Data Analyst,Where they studied,westpac,151.227939,-33.917226
10,RMIT University,12,Data Analyst,Where they studied,westpac,144.9639,-37.8083
11,Charles Sturt University,11,Data Analyst,Where they studied,westpac,149.565825,-33.429908
12,Chartered Accountants Australia and New Zealand,10,Data Analyst,Where they studied,westpac,149.140964,-35.288978
13,University of Melbourne,9,Data Analyst,Where they studied,westpac,144.9628925,-37.798269
14,University of Adelaide,9,Data Analyst,Where they studied,westpac,138.604911,-34.9202175
0,SQL,398,Data Analyst,What they are skilled at,westpac,,
1,Business Analysis,373,Data Analyst,What they are skilled at,westpac,,
2,Data Analysis,336,Data Analyst,What they are skilled at,westpac,,
3,Project Management,257,Data Analyst,What they are skilled at,westpac,,
4,Microsoft Excel,240,Data Analyst,What they are skilled at,westpac,,
5,Analytical Skills,222,Data Analyst,What they are skilled at,westpac,,
6,Stakeholder Management,222,Data Analyst,What they are skilled at,westpac,,
7,Requirements Analysis,220,Data Analyst,What they are skilled at,westpac,,
8,Management,206,Data Analyst,What they are skilled at,westpac,,
9,Agile Methodologies,199,Data Analyst,What they are skilled at,westpac,,
10,Software Development Life Cycle (SDLC),199,Data Analyst,What they are skilled at,westpac,,
11,Business Intelligence (BI),199,Data Analyst,What they are skilled at,westpac,,
12,Tableau,191,Data Analyst,What they are skilled at,westpac,,
13,Microsoft Office,180,Data Analyst,What they are skilled at,westpac,,
14,Python,175,Data Analyst,What they are skilled at,westpac,,
0,Information Technology,104,Data Analyst,What they studied,westpac,,
1,Computer Science,100,Data Analyst,What they studied,westpac,,
2,Computational Science,85,Data Analyst,What they studied,westpac,,
3,Finance,67,Data Analyst,What they studied,westpac,,
4,Accounting,45,Data Analyst,What they studied,westpac,,
5,Mathematics,44,Data Analyst,What they studied,westpac,,
6,Electrical and Electronics Engineering,40,Data Analyst,What they studied,westpac,,
7,Data Science,38,Data Analyst,What they studied,westpac,,
8,Business/Commerce,37,Data Analyst,What they studied,westpac,,
9,Economics,35,Data Analyst,What they studied,westpac,,
10,Business Administration and Management,31,Data Analyst,What they studied,westpac,,
11,Computer Engineering,30,Data Analyst,What they studied,westpac,,
12,Electrical and Electronics Engineering,30,Data Analyst,What they studied,westpac,,
13,Marketing,29,Data Analyst,What they studied,westpac,,
14,Accounting,28,Data Analyst,What they studied,westpac,,
0,India,5006,Data Analyst,Where they live,Deloitte,,
1,United States,4002,Data Analyst,Where they live,Deloitte,,
2,"Telangana, India",1473,Data Analyst,Where they live,Deloitte,,
3,Greater Hyderabad Area,1452,Data Analyst,Where they live,Deloitte,,
4,Hyderabad,1410,Data Analyst,Where they live,Deloitte,,
5,"Karnataka, India",1212,Data Analyst,Where they live,Deloitte,,
6,Greater Bengaluru Area,1190,Data Analyst,Where they live,Deloitte,,
7,Bengaluru,1145,Data Analyst,Where they live,Deloitte,,
8,United Kingdom,997,Data Analyst,Where they live,Deloitte,,
9,"Maharashtra, India",889,Data Analyst,Where they live,Deloitte,,
10,Greater Delhi Area,865,Data Analyst,Where they live,Deloitte,,
11,Washington DC-Baltimore Area,830,Data Analyst,Where they live,Deloitte,,
12,"England, United Kingdom",766,Data Analyst,Where they live,Deloitte,,
13,Canada,738,Data Analyst,Where they live,Deloitte,,
14,Australia,735,Data Analyst,Where they live,Deloitte,,
0,Monash University,88,Data Analyst,Where they studied,Deloitte,145.133607,-37.91063
1,University of Melbourne,73,Data Analyst,Where they studied,Deloitte,144.9628925,-37.798269
2,UNSW,60,Data Analyst,Where they studied,Deloitte,151.227939,-33.917226
3,University of Sydney,47,Data Analyst,Where they studied,Deloitte,151.1868,-33.8884
4,RMIT University,46,Data Analyst,Where they studied,Deloitte,144.9639,-37.8083
5,Deakin University,37,Data Analyst,Where they studied,Deloitte,145.114309,-37.846971
6,The Australian National University,30,Data Analyst,Where they studied,Deloitte,149.121305,-35.276845
7,The University of Queensland,28,Data Analyst,Where they studied,Deloitte,153.013225,-27.497473
8,Curtin University,28,Data Analyst,Where they studied,Deloitte,114.017186,4.51234
9,QUT (Queensland University of Technology),25,Data Analyst,Where they studied,Deloitte,153.027,-27.4773
10,Macquarie University,24,Data Analyst,Where they studied,Deloitte,151.112474,-33.7750065
11,University of Technology Sydney,23,Data Analyst,Where they studied,Deloitte,151.200549,-33.883964
12,The University of Western Australia,22,Data Analyst,Where they studied,Deloitte,115.817898,-31.980069
13,University of Adelaide,21,Data Analyst,Where they studied,Deloitte,138.604911,-34.9202175
14,Swinburne University of Technology,18,Data Analyst,Where they studied,Deloitte,110.357014,1.532147
0,SQL,313,Data Analyst,What they are skilled at,Deloitte,,
1,Data Analysis,284,Data Analyst,What they are skilled at,Deloitte,,
2,Python,275,Data Analyst,What they are skilled at,Deloitte,,
3,Microsoft Excel,266,Data Analyst,What they are skilled at,Deloitte,,
4,Project Management,230,Data Analyst,What they are skilled at,Deloitte,,
5,Microsoft Office,229,Data Analyst,What they are skilled at,Deloitte,,
6,Teamwork,209,Data Analyst,What they are skilled at,Deloitte,,
7,Business Analysis,206,Data Analyst,What they are skilled at,Deloitte,,
8,Communication,188,Data Analyst,What they are skilled at,Deloitte,,
9,Leadership,180,Data Analyst,What they are skilled at,Deloitte,,
10,Analytical Skills,173,Data Analyst,What they are skilled at,Deloitte,,
11,R (Programming Language),163,Data Analyst,What they are skilled at,Deloitte,,
12,Customer Service,159,Data Analyst,What they are skilled at,Deloitte,,
13,Tableau,148,Data Analyst,What they are skilled at,Deloitte,,
14,Data Visualization,137,Data Analyst,What they are skilled at,Deloitte,,
0,Information Technology,104,Data Analyst,What they studied,Deloitte,,
1,Data Science,79,Data Analyst,What they studied,Deloitte,,
2,Computer Science,70,Data Analyst,What they studied,Deloitte,,
3,Finance,63,Data Analyst,What they studied,Deloitte,,
4,Business/Commerce,58,Data Analyst,What they studied,Deloitte,,
5,Computational Science,52,Data Analyst,What they studied,Deloitte,,
6,Accounting,49,Data Analyst,What they studied,Deloitte,,
7,Mathematics,43,Data Analyst,What they studied,Deloitte,,
8,Economics,41,Data Analyst,What they studied,Deloitte,,
9,Marketing,34,Data Analyst,What they studied,Deloitte,,
10,Management Information Systems,31,Data Analyst,What they studied,Deloitte,,
11,Business Analytics,29,Data Analyst,What they studied,Deloitte,,
