id,job_title,Cards_titles,Ratings,Reviews,Salaries,Jobs_count,logo,url
7,Banker,Citi,3.7,37.4K,67.5K,5.1K,https://media.glassdoor.com/sql/8843/citi-squareLogo-1686753614162.png,https://www.glassdoor.com.au/citi
8,Banker,Credit Suisse,3.9,13.5K,97K,1,https://media.glassdoor.com/sql/3141/credit-suisse-squarelogo-1474560002423.png,"https://www.glassdoor.com.au/Overview/Working-at-Credit-Suisse-EI_IE3141.11,24.htm"
9,Banker,Bank of America,4,43.6K,122.5K,2.2K,https://media.glassdoor.com/sql/8874/bank-of-america-squareLogo-1696271923493.png,"https://www.glassdoor.com.au/Overview/Working-at-Bank-of-America-EI_IE8874.11,26.htm"
0,Electrical Engineer,Aurecon,4,1.1K,87.5K,117,https://media.glassdoor.com/sql/309607/aurecon-squareLogo-1722814844719.png,"https://www.glassdoor.com.au/Overview/Working-at-Aurecon-EI_IE309607.11,18.htm"
1,Electrical Engineer,BHP,4.1,2.7K,97.5K,145,https://media.glassdoor.com/sql/3459/bhp-squarelogo-1568088884571.png,"https://www.glassdoor.com.au/Overview/Working-at-BHP-EI_IE3459.11,14.htm"
2,Electrical Engineer,Downer,3.5,941,120K,425,https://media.glassdoor.com/sql/41953/downer-group-squarelogo-1413228518321.png,"https://www.glassdoor.com.au/Overview/Working-at-Downer-EI_IE41953.11,17.htm"
3,Electrical Engineer,WSP,3.8,6.7K,97.5K,2.8K,https://media.glassdoor.com/sql/13584/wsp-squarelogo-1494428744957.png,"https://www.glassdoor.com.au/Overview/Working-at-WSP-EI_IE13584.11,14.htm"
4,Electrical Engineer,Worley,3.9,3.8K,74K,1K,https://media.glassdoor.com/sql/35193/worley-squareLogo-1709713869649.png,"https://www.glassdoor.com.au/Overview/Working-at-Worley-EI_IE35193.11,17.htm"
5,Electrical Engineer,Arup,4,4.4K,93K,752,https://media.glassdoor.com/sql/31809/arup-squarelogo-1610531232407.png,"https://www.glassdoor.com.au/Overview/Working-at-Arup-EI_IE31809.11,15.htm"
6,Electrical Engineer,AECOM,3.8,11.3K,86.5K,4.4K,https://media.glassdoor.com/sql/5632/aecom-squareLogo-1623070279712.png,"https://www.glassdoor.com.au/Overview/Working-at-AECOM-EI_IE5632.11,16.htm"
7,Electrical Engineer,Schneider Electric,4.2,17.1K,130K,3.2K,https://media.glassdoor.com/sql/3956/schneider-electric-squareLogo-1712717816531.png,"https://www.glassdoor.com.au/Overview/Working-at-Schneider-Electric-EI_IE3956.11,29.htm"
8,Electrical Engineer,GHD,3.8,1.7K,93K,790,https://media.glassdoor.com/sql/146364/ghd-squareLogo-1632880445301.png,"https://www.glassdoor.com.au/Overview/Working-at-GHD-EI_IE146364.11,14.htm"
